index,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream,upload_date,dias_na_plataforma,spotify_upload
1042,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Liebst du mich,PAUL,album,spotify:track:2e8Y9puNglsJIEQbZIHA0t,0.69,0.783,3.0,-6.924,0.0709,0.00402,0.000493,0.114,0.814,105.0,177124.0,13514502.0,2022-11-10 23:00:07,88,2022-12-08
1043,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Sterne (feat. Bozza),Sterne (feat. Bozza),single,spotify:track:3WnBW96ByuZLYGUlAPtqUG,0.775,0.597,2.0,-7.298,0.148,0.0492,0.0,0.0853,0.24,146.927,236056.0,6930515.0,2022-12-01 23:00:11,67,2022-12-01
1045,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Mit Dir,PAUL,album,spotify:track:3gengEn3je6KGekvgNnHxA,0.825,0.438,8.0,-7.667,0.264,0.276,4.48e-05,0.119,0.544,114.017,169501.0,70676933.0,2022-02-03 23:00:12,368,2022-12-08
1047,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Rollender Stein,PAUL,album,spotify:track:0o0UqqXf1SmFt3Vf6YV1k9,0.611,0.536,7.0,-9.472,0.148,0.0514,0.0,0.186,0.288,173.691,159013.0,3410286.0,2022-12-08 23:00:18,60,2022-12-08
1048,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,Medizin (feat. Jamule),PAUL,album,spotify:track:62KwUuB16yd6stRtZVVTz0,0.861,0.623,7.0,-8.353,0.0752,0.096,0.00341,0.0924,0.574,122.998,195745.0,11763592.0,2022-10-20 22:00:07,109,2022-12-08
1049,Sido,https://open.spotify.com/artist/4Yttlv9ndGjCDCVLqM7ACq,3 Monde,PAUL,album,spotify:track:21DO45JIwZIAsgxDtst1zC,0.755,0.56,0.0,-4.675,0.0714,0.485,4.16e-05,0.333,0.782,119.982,140253.0,3589277.0,2022-12-08 23:00:01,60,2022-12-08
1090,Alesso,https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t,Words (feat. Zara Larsson),Words (feat. Zara Larsson),single,spotify:track:1bgKMxPQU7JIZEhNsM1vFs,0.739,0.586,10.0,-5.079,0.0472,0.0245,0.000252,0.308,0.444,124.026,142677.0,171982436.0,2022-04-22 04:00:18,290,2022-04-22
1091,Alesso,https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t,When I’m Gone (with Katy Perry),When I’m Gone (with Katy Perry),single,spotify:track:5902W4uHWzhtOff1UK7the,0.685,0.886,0.0,-4.179,0.034,0.028,0.0,0.481,0.615,125.034,161267.0,179992904.0,2022-01-11 04:00:09,391,2021-12-29
1097,Alesso,https://open.spotify.com/artist/4AVFqumd2ogHFlRbKIjp1t,Only You,Only You,single,spotify:track:7mXNYEVh9FW72c12qBaO3p,0.483,0.917,3.0,-2.528,0.0438,0.00235,0.000347,0.119,0.323,129.035,145174.0,13307518.0,2022-03-25 04:00:15,318,2022-03-25
1100,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Eso Y Más,Más Allá Del Sol,album,spotify:track:7HW5tUjaKxBUamSi7nnzPt,0.585,0.132,9.0,-12.731,0.0751,0.937,0.0,0.106,0.454,151.968,159172.0,198655853.0,2022-08-10 04:00:19,180,2006-04-24
1109,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,Silver Bells,White Christmas,compilation,spotify:track:7ehhnVu3JUWMaSJzY1zC4k,0.343,0.136,5.0,-15.142,0.0385,0.749,0.0,0.261,0.59,70.937,182667.0,48974909.0,2022-11-14 17:00:34,84,1945-01-01
1110,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,God Rest Ye Merry Gentlemen,White Christmas,compilation,spotify:track:6Uekkm0MOVT4WznQy0ktVR,0.466,0.213,0.0,-12.009,0.0448,0.984,9.58e-05,0.428,0.693,97.075,137267.0,71043019.0,2022-11-16 17:00:12,82,1945-01-01
1111,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,Frosty The Snowman - Remastered 2006,Bing Crosby - Christmas Classics,compilation,spotify:track:35MqcEIVZ7svbBpRt4N30g,0.519,0.368,7.0,-11.622,0.0796,0.617,0.0,0.0859,0.854,160.37,133413.0,41605993.0,2022-11-18 17:00:33,80,2006-01-01
1132,Lata Mangeshkar,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,Mera Dil Ye Pukare - Tu Aaja - Heartlock Mix,Mera Dil Ye Pukare - Tu Aaja (Heartlock Mix),single,spotify:track:6bJmYR0sjTZNJxwdw52ern,0.756,0.413,0.0,-15.549,0.107,0.589,0.0146,0.109,0.353,91.951,122609.0,11743368.0,2022-11-25 13:29:32,73,2022-11-26
1157,Anahí,https://open.spotify.com/artist/0TeVa4xdLB8vdzjsvKH6Ri,Nuestro Amor,Nuestro Amor,album,spotify:track:7F7qwp7VZRVwZsNoddRRgX,0.541,0.769,4.0,-6.253,0.0339,0.0556,1.54e-05,0.17,0.382,129.971,215747.0,32196256.0,2022-02-10 01:00:09,361,2005-01-01
1158,Shankar Mahadevan,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,Vaa Thalaivaa,Varisu,single,spotify:track:4H2ILdDNn6jkE7REM5skJC,0.617,0.923,6.0,-7.568,0.11,0.731,0.0483,0.115,0.752,139.083,270048.0,5360641.0,2023-01-12 10:30:03,25,2022-12-24
1165,Shankar Mahadevan,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,Indru Netru Naalai,Indru Netru Naalai (Original Motion Picture Soundtrack),single,spotify:track:0jCZ3xX2xZTWMUnQMk1Vig,0.536,0.591,0.0,-5.377,0.0292,0.463,0.0,0.133,0.347,128.056,185216.0,8937191.0,2022-03-07 06:54:17,336,2015-05-07
1172,Kumar Sanu,https://open.spotify.com/artist/4K6blSRoklNdpw4mzLxwfn,Raah Mein Unse Mulaqat,Vijaypath (Original Motion Picture Soundtrack),album,spotify:track:1ZcluxOLEoQEZHp8qsHVe2,0.403,0.633,11.0,-8.537,0.0419,0.366,0.001,0.366,0.722,83.408,519227.0,6742970.0,2022-04-08 04:30:07,304,1994-07-29
1188,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,!ly (feat. Coez),c@ra++ere s?ec!@le,album,spotify:track:1E1nbIsPDO1PdtQwsAKKF3,0.765,0.726,7.0,-5.26,0.0505,0.24,0.0,0.126,0.69,126.556,206495.0,26314102.0,2022-09-29 23:00:32,130,2022-09-30
1189,thasup,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,s!r! (feat. Lazza & Sfera Ebbasta),c@ra++ere s?ec!@le,album,spotify:track:50DsGEqRiQr6KdEYi0NuSP,0.669,0.737,6.0,-4.603,0.0527,0.404,0.0,0.182,0.347,149.926,237693.0,74919495.0,2022-07-14 23:00:32,207,2022-09-30
